"","V1","V2","V3"
"843",1.83,3.7,4.33
"844",4,4.2,1.83
"845",3.4,3.4,2.15
"846",3.6,3.4,2.1
"847",2.45,3.5,2.8
"848",1.75,3.6,5
"849",8.5,5.25,1.33
"850",1.53,3.75,7.5
"851",6.5,4,1.55
"852",2.5,3.25,2.9
"853",2.6,3.5,2.6
"854",3,3.5,2.3
"855",1.65,3.75,5.5
"856",1.7,4,4.75
"857",6.5,4.33,1.5
"858",2.2,3.3,3.25
"859",2.4,3.4,3
"860",1.55,4,6.5
"861",2.3,3.4,3.1
"862",3,3.4,2.37
"863",1.22,6.5,12
"864",3.6,4,1.9
"865",2.05,3.5,3.6
"866",2.5,3.5,2.7
"867",2.45,3.4,2.87
"868",3.8,3.6,1.95
"869",1.66,4.33,4.5
"870",2.25,3.6,3
"871",2.25,3.75,2.9
"872",3.3,2.9,2.45
"873",3.6,3.8,1.95
"874",2.87,3.4,2.45
"875",6.5,4.2,1.5
"876",4,3.8,1.85
"877",3.5,3.25,2.2
"878",1.44,5,6.25
"879",3.3,3,2.37
"880",3.75,3.4,2
"881",2.62,3.4,2.62
"882",2.62,3.4,2.6
"883",3.3,3.2,2.25
"884",1.3,5.5,9
"885",7,5.4,1.36
"886",2,3.4,3.8
"887",2.75,3,2.8
"888",6,4,1.57
"889",2.15,3.3,3.4
"890",1.95,3.8,3.6
"891",2.55,3.3,2.7
"892",1.83,3.6,4.2
"893",1.55,3.8,6.5
"894",1.33,5.25,9
"895",2.75,2.87,2.9
"896",1.9,3.5,4.1
"897",2.9,3.2,2.45
"898",1.25,6,10
"899",1.61,4.2,5.5
"900",3.4,3.2,2.2
"901",1.28,5.75,9
"902",2.2,3.75,3
"903",5,4.2,1.61
"904",1.36,5.25,8
"905",1.28,5.75,10
"906",2.6,3.6,2.6
"907",2.15,3.5,3.3
"908",1.85,3.4,4.5
"909",2.9,3.6,2.3
"910",1.9,3.75,3.8
"911",3.2,3.3,2.3
"912",4,3.6,1.9
"913",1.11,10,19
"914",4.2,3.6,1.85
"915",1.72,4,4.33
"916",2.3,3.4,3.1
"917",1.11,10,19
"918",3.6,3.25,2.15
"919",3.75,3.5,2
"920",1.61,4.2,5
"921",2.25,3.3,3.25
"922",3.25,3.5,2.2
"923",2.37,3.1,3.25
"924",2.1,3.6,3.4
"925",3.6,3.6,2
"926",1.28,5.75,9.5
"927",1.53,4.2,6.25
"928",2.87,2.9,2.75
"929",2.4,3.4,2.9
"930",2.2,3.3,3.4
"931",1.44,4.2,8.5
"932",1.75,3.75,4.6
"933",12,6,1.25
"934",10,6.5,1.25
"935",3,3.2,2.5
"936",2.35,3.25,3.1
"937",2.1,3.5,3.5
"938",1.72,4.2,4.2
"939",1.75,4.1,4.2
"940",1.65,3.8,5.5
"941",3.9,3.5,1.95
"942",1.95,3.5,3.9
"943",5.75,4.33,1.53
"944",2.35,3.4,3
"945",3.2,3.6,2.1
"946",2,3.8,3.3
"947",2.9,3.3,2.37
"948",1.65,4,4.8
"949",3.8,4,1.8
"950",1.95,3.1,4.5
"951",1.44,4.75,6.5
"952",2.62,3.25,2.75
"953",5.75,4,1.57
"954",5.25,4.2,1.61
"955",7,3.75,1.53
"956",3,3.7,2.2
"957",1.55,4.2,5.75
"958",1.12,9,19
"959",1.5,3.8,8
"960",2.37,3,3.3
"961",1.53,4,6.5
"962",6.5,4.75,1.44
"963",1.2,7,12
"964",1.5,4.5,5.5
"965",7,4.33,1.45
"966",2.1,3.4,3.4
"967",5.25,4,1.61
"968",2.75,3.2,2.6
"969",1.45,4.75,6
"970",2.9,3.4,2.37
"971",5.25,4.2,1.57
"972",1.4,4.5,7.5
"973",2,3.4,3.75
"974",5,4.33,1.61
"975",4.2,3.6,1.83
